"Cod_Estabelecimento","Estabelecimento","Cod_UO","UO","NUTS1","NUTS2","NUTS3","Distrito","Conselho","Subsistema_ensino","Tipo_ensino","Cod_curso","Curso","Nivel_forma","Cnaef_cod_grande_grupo","Cnaef_grande_grupo","Cnaef_cod_area_estudo","Cnaef_area_estudo","Cnaef_cod_area_edu_forma","Cnaef_area_edu_forma","Total","Sexo_h","Sexo_m","Estrangeiro","Portugues"
"100","Universidade dos Açores","110","Universidade dos Açores - Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Universitário","M146","Engenharia e Gestão de Sistemas de Água","Mestrado","800","Serviços","850","Protecção do Ambiente","851","Tecnologia de Protecção do Ambiente","2","0","2","0","2"
"100","Universidade dos Açores","120","Universidade dos Açores - Horta","R. A. Açores","R. A. Açores","R. A. Açores","Ilha do Faial","Horta","Público","Universitário","6669","Estudos Integrados dos Oceanos","Mestrado","400","Ciências, Matemática e Informática","440","Ciências Físicas","443","Ciências da Terra","7","2","5","1","6"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","5050","Biologia","Doutoramento","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","8","2","6","4","4"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","5193","Ciências Económicas e Empresariais","Doutoramento","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","314","Economia","3","2","1","0","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","5244","Educação","Doutoramento","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","6","3","3","0","6"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","5333","Estudos Clássicos","Doutoramento","200","Artes e Humanidades","220","Humanidades","222","Línguas e Literaturas Estrangeiras","1","0","1","0","1"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","5375","Geologia","Doutoramento","400","Ciências, Matemática e Informática","440","Ciências Físicas","443","Ciências da Terra","2","1","1","0","2"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","5403","História","Doutoramento","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","1","1","0","0","1"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6248","Supervisão Pedagógica","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","4","0","4","0","4"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6326","Psicologia da Educação","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","27","6","21","0","27"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6341","Matemática para Professores","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","145","Formação de Professores de Áreas Disciplinares Específicas","3","2","1","0","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6666","Ambiente, Saúde e Segurança","Mestrado","400","Ciências, Matemática e Informática","420","Ciências da Vida","422","Ciências do Ambiente","14","3","11","0","14"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6667","Biotecnologia em Controlo Biológico","Mestrado","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","3","1","2","0","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6668","Biodiversidade e Ecologia Insular","Mestrado","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","2","0","2","0","2"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6670","Vulcanologia e Riscos Geológicos","Mestrado","400","Ciências, Matemática e Informática","440","Ciências Físicas","443","Ciências da Terra","3","1","2","0","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","6915","Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","144","Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)","37","3","34","0","37"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","8421","Filosofia e Cultura Portuguesa (regime pós-laboral)","Licenciatura","200","Artes e Humanidades","220","Humanidades","226","Filosofia e Ética","10","5","5","0","10"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9011","Biologia","Licenciatura","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","19","10","9","0","19"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9081","Economia","Licenciatura","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","314","Economia","21","10","11","0","21"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9147","Gestão","Licenciatura","300","Ciências Sociais, Comércio e Direito","340","Ciências Empresariais","345","Gestão e Administração","87","34","53","0","87"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9181","História","Licenciatura","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","9","5","4","0","9"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9219","Psicologia","Licenciatura","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","311","Psicologia","19","1","18","0","19"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9238","Serviço Social","Licenciatura","700","Saúde e Protecção Social","760","Serviços Sociais","762","Trabalho Social e Orientação","25","0","25","0","25"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9240","Sociologia","Licenciatura","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","312","Sociologia e Outros Estudos","28","0","28","0","28"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9254","Turismo","Licenciatura","800","Serviços","810","Serviços Pessoais","812","Turismo e Lazer","23","8","15","2","21"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9272","Ciências da Comunicação","Mestrado","300","Ciências Sociais, Comércio e Direito","320","Informação e Jornalismo","321","Jornalismo e Reportagem","4","0","4","1","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9281","Educação","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","3","0","3","0","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9298","Gestão de Empresas","Mestrado","300","Ciências Sociais, Comércio e Direito","340","Ciências Empresariais","345","Gestão e Administração","4","3","1","0","4"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9329","Relações Internacionais","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","313","Ciência Política e Cidadania","4","2","2","0","4"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9333","Sociologia","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","312","Sociologia e Outros Estudos","4","1","3","0","4"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9384","Informática - Redes e Multimédia","Licenciatura","400","Ciências, Matemática e Informática","480","Informática","481","Ciências Informáticas","22","20","2","0","22"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9512","Ciências Biomédicas","Mestrado","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","7","1","6","0","7"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9699","Ciências Biológicas e da Saúde","Licenciatura","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","14","2","12","0","14"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9704","Ciências da Engenharia Civil","Licenciatura","500","Engenharia, Indústrias Transformadoras e Construção","580","Arquitectura e Construção","582","Construção Civil e Engenharia Civil","3","3","0","0","3"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9718","Comunicação Social e Cultura","Licenciatura","300","Ciências Sociais, Comércio e Direito","320","Informação e Jornalismo","321","Jornalismo e Reportagem","17","6","11","0","17"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9756","Estudos Europeus e Política Internacional","Licenciatura","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","313","Ciência Política e Cidadania","18","8","10","1","17"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9760","Física e Química","Licenciatura","400","Ciências, Matemática e Informática","440","Ciências Físicas","441","Física","2","2","0","0","2"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9798","Relações Públicas e Comunicação","Licenciatura","300","Ciências Sociais, Comércio e Direito","340","Ciências Empresariais","342","Marketing e Publicidade","32","11","21","1","31"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","9853","Educação Básica","Licenciatura","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","144","Formação de Professores do Ensino Básico (1.º e 2.º Ciclos)","37","2","35","2","35"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","M121","Património, Museologia e Desenvolvimento","Mestrado","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","8","3","5","1","7"
"100","Universidade dos Açores","130","Universidade dos Açores - Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Universitário","M149","Ciências Económicas e Empresariais","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","314","Economia","18","10","8","0","18"
"100","Universidade dos Açores","7090","Universidade dos Açores - Escola Superior de Enfermagem de Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Politécnico","6137","Gerontologia","Mestrado","700","Saúde e Protecção Social","720","Saúde","723","Enfermagem","9","3","6","0","9"
"100","Universidade dos Açores","7090","Universidade dos Açores - Escola Superior de Enfermagem de Angra do Heroísmo","R. A. Açores","R. A. Açores","R. A. Açores","Ilha Terceira","Angra do Heroísmo","Público","Politécnico","9500","Enfermagem","Licenciatura","700","Saúde e Protecção Social","720","Saúde","723","Enfermagem","45","10","35","2","43"
"100","Universidade dos Açores","7091","Universidade dos Açores - Escola Superior de Enfermagem de Ponta Delgada","R. A. Açores","R. A. Açores","R. A. Açores","Ilha de São Miguel","Ponta Delgada","Público","Politécnico","9500","Enfermagem","Licenciatura","700","Saúde e Protecção Social","720","Saúde","723","Enfermagem","46","4","42","2","44"
"200","Universidade do Algarve","200","Universidade do Algarve","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","8388","Medicina","Mestrado","700","Saúde e Protecção Social","720","Saúde","721","Medicina","29","13","16","0","29"
"200","Universidade do Algarve","200","Universidade do Algarve","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9351","Ciências Biomédicas","Licenciatura","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","32","11","21","1","31"
"200","Universidade do Algarve","200","Universidade do Algarve","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9512","Ciências Biomédicas","Mestrado","400","Ciências, Matemática e Informática","420","Ciências da Vida","421","Biologia e Bioquímica","6","4","2","0","6"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","5104","Arqueologia","Doutoramento","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","3","2","1","0","3"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","5140","Ciências da Educação","Doutoramento","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","1","0","1","0","1"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","5766","Literatura","Doutoramento","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","2","2","0","0","2"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6011","Arqueologia","Mestrado","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","3","1","2","0","3"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6045","Ciências Documentais","Mestrado","300","Ciências Sociais, Comércio e Direito","320","Informação e Jornalismo","322","Biblioteconomia, Arquivo e Documentação (BAD)","10","1","9","1","9"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6281","Comunicação, Cultura e Artes","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","312","Sociologia e Outros Estudos","10","4","6","1","9"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6303","Estudos Literários e Artísticos","Mestrado","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","1","0","1","0","1"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6324","Produção, Edição e Comunicação de Conteúdos","Mestrado","200","Artes e Humanidades","210","Artes","213","Áudio-Visuais e Produção dos Media","7","3","4","0","7"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6326","Psicologia da Educação","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","27","3","24","1","26"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6386","Psicologia Clínica e da Saúde","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","311","Psicologia","24","2","22","0","24"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6474","Promoção e Mediação da Leitura","Mestrado","200","Artes e Humanidades","220","Humanidades","223","Língua e Literatura Materna","3","1","2","0","3"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6703","Ciências da Linguagem","Mestrado","200","Artes e Humanidades","220","Humanidades","223","Língua e Literatura Materna","2","0","2","1","1"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6704","Portugal Islâmico e o Mediterrâneo","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","312","Sociologia e Outros Estudos","2","1","1","0","2"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6811","Ciências da Educação e da Formação","Mestrado","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","17","3","14","0","17"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6814","História do Algarve","Mestrado","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","2","0","2","0","2"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","6895","Neurociências Cognitivas e Neuropsicologia","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","311","Psicologia","9","3","6","0","9"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","8369","Património Cultural (Artístico, Histórico e Arqueológico)","Licenciatura","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","12","7","5","0","12"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9006","Arqueologia","Licenciatura","200","Artes e Humanidades","220","Humanidades","225","História e Arqueologia","3","1","2","0","3"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9132","Estudos Artísticos","Licenciatura","200","Artes e Humanidades","210","Artes","212","Artes do Espectáculo","8","3","5","0","8"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9204","Línguas, Literaturas e Culturas","Licenciatura","200","Artes e Humanidades","220","Humanidades","222","Línguas e Literaturas Estrangeiras","10","1","9","0","10"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9219","Psicologia","Licenciatura","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","311","Psicologia","47","9","38","0","47"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9303","História da Arte","Mestrado","200","Artes e Humanidades","210","Artes","211","Belas-Artes","3","2","1","0","3"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9325","Psicologia Social e das Organizações","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","311","Psicologia","14","5","9","1","13"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9343","Psicologia","Doutoramento","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","311","Psicologia","6","3","3","1","5"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9433","Gestão Cultural","Mestrado","300","Ciências Sociais, Comércio e Direito","310","Ciências Sociais e do Comportamento","312","Sociologia e Outros Estudos","6","1","5","2","4"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9817","Artes Visuais","Licenciatura","200","Artes e Humanidades","210","Artes","211","Belas-Artes","27","10","17","1","26"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9821","Ciências da Educação e da Formação","Licenciatura","100","Educação","140","Formação de Professores/Formadores e Ciências da Educação","142","Ciências da Educação","23","1","22","1","22"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9825","Ciências Documentais e Editoriais","Licenciatura","300","Ciências Sociais, Comércio e Direito","320","Informação e Jornalismo","322","Biblioteconomia, Arquivo e Documentação (BAD)","1","0","1","0","1"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","9834","Línguas e Comunicação","Licenciatura","200","Artes e Humanidades","220","Humanidades","222","Línguas e Literaturas Estrangeiras","13","1","12","1","12"
"200","Universidade do Algarve","201","Universidade do Algarve - Faculdade de Ciências Humanas e Sociais","Continente","Algarve","Algarve","Faro","Faro","Público","Universitário","M162","Processamento de Linguagem Natural e Indústrias das Línguas","Mestrado","200","Artes e Humanidades","220","Humanidades","223","Língua e Literatura Materna","4","3","1","4","0"
